Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FieldmapKey01,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__13,acquisition-64dir_datatype-dwi_suffix-dwi,13,1,140.0,140.0,81.0,2e-06,0.089,0.00067,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,,0,129.0,True,,0.75,j-,4.1,0.093,1.714,1.714,1.7
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__14,acquisition-64dir_datatype-dwi_suffix-dwi,14,1,104.0,104.0,72.0,4e-06,0.1,0.00041,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,,0,129.0,True,2.0,1.0,i,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__15,acquisition-64dir_datatype-dwi_suffix-dwi,15,1,104.0,104.0,72.0,3e-06,0.1,0.00039,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,,90.0,,,,,,,,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__16,acquisition-64dir_datatype-dwi_suffix-dwi,16,1,104.0,104.0,72.0,3e-06,0.1,0.00039,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,1.827,1.827,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__17,acquisition-64dir_datatype-dwi_suffix-dwi,17,1,96.0,96.0,72.0,3e-06,0.095,0.00074,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,72,129.0,False,,0.75,j-,4.5,0.07,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__18,acquisition-64dir_datatype-dwi_suffix-dwi,18,1,104.0,104.0,72.0,4e-06,0.1,0.00041,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,,90.0,,,,,,,,,0,129.0,True,2.0,1.0,j-,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__19,acquisition-64dir_datatype-dwi_suffix-dwi,19,1,104.0,104.0,72.0,3e-06,0.1,0.00039,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,,90.0,,,,,,,,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__20,acquisition-64dir_datatype-dwi_suffix-dwi,20,1,140.0,140.0,81.0,2e-06,0.089,0.00067,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,81,129.0,False,,0.75,j-,4.1,0.093,1.714,1.714,1.7
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__21,acquisition-64dir_datatype-dwi_suffix-dwi,21,1,96.0,96.0,72.0,3e-06,0.094,0.00072,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,,90.0,,,,,,,,3.0,72,129.0,False,,0.75,j-,4.5,0.068,2.0,2.0,2.0
,,,,acquisition-HCP_datatype-anat_run-1_suffix-T1w__1,acquisition-HCP_datatype-anat_run-1_suffix-T1w,1,136,224.0,320.0,320.0,1.2e-05,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_run-1_suffix-T1w__2,acquisition-HCP_datatype-anat_run-1_suffix-T1w,2,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-HCP_datatype-anat_run-2_suffix-T1w__1,acquisition-HCP_datatype-anat_run-2_suffix-T1w,1,136,224.0,320.0,320.0,1.2e-05,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_run-2_suffix-T1w__2,acquisition-HCP_datatype-anat_run-2_suffix-T1w,2,1,144.0,256.0,256.0,1.5e-05,0.003,,,,8.0,,,,,,,,,0,,False,4.0,1.0,,2.5,,0.8,1.0,1.0
,,,,acquisition-HCP_datatype-anat_suffix-T1w__1,acquisition-HCP_datatype-anat_suffix-T1w,1,2318,224.0,320.0,320.0,1.2e-05,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__2,acquisition-HCP_datatype-anat_suffix-T1w,2,2,176.0,320.0,320.0,1.2e-05,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__3,acquisition-HCP_datatype-anat_suffix-T1w,3,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-HCP_datatype-anat_suffix-T1w__4,acquisition-HCP_datatype-anat_suffix-T1w,4,1,224.0,320.0,320.0,1.2e-05,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.769,0.769
,,,,acquisition-HCP_datatype-anat_suffix-T1w__5,acquisition-HCP_datatype-anat_suffix-T1w,5,1,320.0,320.0,224.0,1.2e-05,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__6,acquisition-HCP_datatype-anat_suffix-T1w,6,1,144.0,256.0,256.0,1.5e-05,0.003,,,,8.0,,,,,,,,,0,,False,4.0,1.0,,2.5,,0.8,1.0,1.0
,,,,acquisition-HCP_datatype-anat_suffix-T1w__7,acquisition-HCP_datatype-anat_suffix-T1w,7,1,192.0,320.0,320.0,1.2e-05,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__8,acquisition-HCP_datatype-anat_suffix-T1w,8,1,131.0,320.0,320.0,1.2e-05,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__9,acquisition-HCP_datatype-anat_suffix-T1w,9,1,24.0,320.0,320.0,1.2e-05,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__10,acquisition-HCP_datatype-anat_suffix-T1w,10,1,21.0,320.0,320.0,1.2e-05,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__11,acquisition-HCP_datatype-anat_suffix-T1w,11,1,20.0,320.0,320.0,1.2e-05,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w,1,127,176.0,256.0,256.0,8e-06,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w,2,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w,1,127,176.0,256.0,256.0,8e-06,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w,2,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-VNavNorm_datatype-anat_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_suffix-T1w,1,1124,176.0,256.0,256.0,8e-06,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNavNorm_datatype-anat_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_suffix-T1w,2,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-VNavNorm_datatype-anat_suffix-T1w__3,acquisition-VNavNorm_datatype-anat_suffix-T1w,3,1,114.0,256.0,256.0,8e-06,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNavNorm_datatype-anat_suffix-T1w__4,acquisition-VNavNorm_datatype-anat_suffix-T1w,4,1,32.0,256.0,256.0,8e-06,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,5.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_run-1_suffix-T1w__1,acquisition-VNav_datatype-anat_run-1_suffix-T1w,1,255,176.0,256.0,256.0,8e-06,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_run-1_suffix-T1w__2,acquisition-VNav_datatype-anat_run-1_suffix-T1w,2,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-VNav_datatype-anat_run-2_suffix-T1w__1,acquisition-VNav_datatype-anat_run-2_suffix-T1w,1,255,176.0,256.0,256.0,8e-06,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_run-2_suffix-T1w__2,acquisition-VNav_datatype-anat_run-2_suffix-T1w,2,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-VNav_datatype-anat_suffix-T1w__1,acquisition-VNav_datatype-anat_suffix-T1w,1,2245,176.0,256.0,256.0,8e-06,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_suffix-T1w__2,acquisition-VNav_datatype-anat_suffix-T1w,2,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-VNav_datatype-anat_suffix-T1w__3,acquisition-VNav_datatype-anat_suffix-T1w,3,2,32.0,256.0,256.0,8e-06,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,5.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_suffix-T1w__4,acquisition-VNav_datatype-anat_suffix-T1w,4,1,114.0,256.0,256.0,8e-06,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_suffix-T1w__5,acquisition-VNav_datatype-anat_suffix-T1w,5,1,112.0,256.0,256.0,8e-06,0.003,,,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__1,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,1,918,104.0,104.0,72.0,3e-06,0.1,0.00039,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,2.0,1.0,j-,3.32,0.04,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__2,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,2,859,104.0,104.0,72.0,4e-06,0.1,0.00041,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__3,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,3,277,96.0,96.0,72.0,3e-06,0.076,0.00072,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,,0.75,j-,3.11,0.068,2.0,2.0,2.0
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__4,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,4,37,104.0,104.0,72.0,3e-06,0.1,0.00039,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.04,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__5,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,5,20,104.0,104.0,72.0,4e-06,0.1,0.00041,,,90.0,,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__6,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,6,18,140.0,140.0,81.0,2e-06,0.089,0.00067,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,False,,0.75,j-,4.1,0.093,1.714,1.714,1.7
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__7,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,7,12,96.0,96.0,72.0,3e-06,0.076,0.00072,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,,0.75,j-,3.11,0.068,2.0,2.0,2.0
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__8,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,8,7,104.0,104.0,72.0,4e-06,0.1,0.00041,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,2.0,1.0,j-,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__9,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,9,6,104.0,104.0,72.0,3e-06,0.1,0.00039,,,90.0,,,,,,,,,0,,False,2.0,1.0,j-,3.32,0.04,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__10,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,10,5,104.0,104.0,60.0,3e-06,0.1,0.00039,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,2.0,1.0,j-,3.32,0.04,1.798,1.798,2.4
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__11,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,11,3,140.0,140.0,81.0,2e-06,0.089,0.00067,,,90.0,,,,,,,,,0,2.0,False,,0.75,j-,4.1,0.093,1.714,1.714,1.7
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__12,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,12,1,104.0,104.0,72.0,4e-06,0.1,0.00048,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,2.0,1.0,j-,3.44,0.049,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__13,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,13,1,104.0,104.0,72.0,4e-06,0.1,0.00041,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,2.0,1.0,j,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__14,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,14,1,140.0,140.0,81.0,2e-06,0.089,0.00067,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,True,,0.75,j-,4.1,0.093,1.714,1.714,1.7
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__15,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,15,1,104.0,104.0,72.0,3e-06,0.1,0.00039,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,2.0,1.0,j-,3.32,0.04,1.827,1.827,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__16,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,16,1,104.0,104.0,72.0,3e-06,0.1,0.00039,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,2.0,1.0,j-,3.32,0.04,1.798,1.798,1.83
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__17,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,17,1,104.0,104.0,72.0,4e-06,0.1,0.00041,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.043,1.846,1.846,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__18,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,18,1,96.0,96.0,72.0,3e-06,0.076,0.00074,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,,0.75,i,3.14,0.07,2.0,2.0,2.0
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__19,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,19,1,104.0,104.0,72.0,4e-06,0.1,0.00041,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,2.0,1.0,i,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__20,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,20,1,96.0,96.0,72.0,3e-06,0.076,0.00072,,,90.0,,,,,,,,,0,,False,,0.75,j-,3.11,0.068,2.0,2.0,2.0
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__1,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,1,883,104.0,104.0,72.0,3e-06,0.1,0.00039,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,2.0,1.0,j,3.32,0.04,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__2,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,2,834,104.0,104.0,72.0,4e-06,0.1,0.00041,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,2.0,1.0,j,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__3,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,3,280,96.0,96.0,72.0,3e-06,0.076,0.00072,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,,0.75,j,3.11,0.068,2.0,2.0,2.0
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__4,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,4,30,104.0,104.0,72.0,3e-06,0.1,0.00039,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,2.0,1.0,j,3.32,0.04,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__5,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,5,28,104.0,104.0,72.0,4e-06,0.1,0.00041,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,2.0,1.0,i-,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__6,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,6,27,104.0,104.0,72.0,3e-06,0.1,0.00039,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,2.0,1.0,i,3.32,0.04,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__7,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,7,18,140.0,140.0,81.0,2e-06,0.089,0.00067,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,False,,0.75,j,4.1,0.093,1.714,1.714,1.7
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__8,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,8,15,104.0,104.0,72.0,4e-06,0.1,0.00041,,,90.0,,,,,,,,,0,,True,2.0,1.0,j,3.32,0.043,1.798,1.798,1.8
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__9,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,9,11,96.0,96.0,72.0,3e-06,0.076,0.00072,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,True,,0.75,j,3.11,0.068,2.0,2.0,2.0
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__10,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,10,7,104.0,104.0,72.0,3e-06,0.1,0.00039,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,False,2.0,1.0,j-,3.32,0.04,1.798,1.798,1.8
