Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FieldmapKey01,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,MultibandAccelerationFactor,NSliceTimes,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__15,acquisition-64dir_datatype-dwi_suffix-dwi,15,1,3.3E-06,0.1002,0.000389997,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,,90.0,,,,,,,,3.0,72,2.0,1.0,j-,3.32,0.0401697
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__16,acquisition-64dir_datatype-dwi_suffix-dwi,16,1,2.1E-06,0.089,0.000669999,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,3.0,81,,0.75,j-,4.1,0.0931298
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__17,acquisition-64dir_datatype-dwi_suffix-dwi,17,1,3.5E-06,0.1002,0.000414993,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,90.0,,,,,,,,,0,2.0,1.0,i,3.32,0.0427443
,,,,acquisition-HCP_datatype-anat_run-1_suffix-T1w__1,acquisition-HCP_datatype-anat_run-1_suffix-T1w,1,136,1.2E-05,0.00315,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,1,,acquisition-HCP_datatype-anat_run-1_suffix-T1w__2,acquisition-HCP_datatype-anat_run-1_suffix-T1w,2,1,,,,,,,,,,,,,,,0,,,,,
,,,,acquisition-HCP_datatype-anat_run-1_suffix-T2w__1,acquisition-HCP_datatype-anat_run-1_suffix-T2w,1,2,2.1E-06,0.565,,,,120.0,,,,,,,,,0,2.0,1.0,,3.2,
,,,,acquisition-HCP_datatype-anat_run-2_suffix-T1w__1,acquisition-HCP_datatype-anat_run-2_suffix-T1w,1,136,1.2E-05,0.00315,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,1,,acquisition-HCP_datatype-anat_run-2_suffix-T1w__2,acquisition-HCP_datatype-anat_run-2_suffix-T1w,2,1,1.5E-05,0.00315,,,,8.0,,,,,,,,,0,4.0,1.0,,2.5,
,,,,acquisition-HCP_datatype-anat_run-2_suffix-T2w__1,acquisition-HCP_datatype-anat_run-2_suffix-T2w,1,2,2.1E-06,0.565,,,,120.0,,,,,,,,,0,2.0,1.0,,3.2,
,,,,acquisition-HCP_datatype-anat_suffix-T1w__1,acquisition-HCP_datatype-anat_suffix-T1w,1,2326,1.2E-05,0.00315,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,1,,acquisition-HCP_datatype-anat_suffix-T1w__2,acquisition-HCP_datatype-anat_suffix-T1w,2,2,,,,,,,,,,,,,,,0,,,,,
,,,,acquisition-HCP_datatype-anat_suffix-T1w__3,acquisition-HCP_datatype-anat_suffix-T1w,3,1,1.2E-05,0.00318,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,,,acquisition-HCP_datatype-anat_suffix-T1w__4,acquisition-HCP_datatype-anat_suffix-T1w,4,1,1.5E-05,0.00315,,,,8.0,,,,,,,,,0,4.0,1.0,,2.5,
,,,,acquisition-HCP_datatype-anat_suffix-T2w__1,acquisition-HCP_datatype-anat_suffix-T2w,1,389,6.5E-06,0.564,,,,120.0,,,,,,,,,0,2.0,1.0,,3.2,
,,,,acquisition-HCP_datatype-anat_suffix-T2w__2,acquisition-HCP_datatype-anat_suffix-T2w,2,371,2.1E-06,0.565,,,,120.0,,,,,,,,,0,2.0,1.0,,3.2,
,,,,acquisition-HCP_datatype-anat_suffix-T2w__3,acquisition-HCP_datatype-anat_suffix-T2w,3,59,2.1E-06,0.564,,,,120.0,,,,,,,,,0,2.0,1.0,,3.2,
,,,,acquisition-HCP_datatype-anat_suffix-T2w__4,acquisition-HCP_datatype-anat_suffix-T2w,4,50,2.1E-06,0.567,,,,120.0,,,,,,,,,0,2.0,1.0,,3.2,
,,,,acquisition-HCP_datatype-anat_suffix-T2w__5,acquisition-HCP_datatype-anat_suffix-T2w,5,16,2.1E-06,0.566,,,,120.0,,,,,,,,,0,2.0,1.0,,3.2,
,,,,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w,1,127,8.1E-06,0.00288,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,1,,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w,2,2,,,,,,,,,,,,,,,0,,,,,
,,,,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w,1,127,8.1E-06,0.00288,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,1,,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w,2,1,,,,,,,,,,,,,,,0,,,,,
,,,,acquisition-VNavNorm_datatype-anat_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_suffix-T1w,1,1037,8.1E-06,0.00288,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,,,acquisition-VNavNorm_datatype-anat_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_suffix-T1w,2,89,8.2E-06,0.0029,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,,,acquisition-VNavNorm_datatype-anat_suffix-T1w__3,acquisition-VNavNorm_datatype-anat_suffix-T1w,3,4,,,,,,,,,,,,,,,0,,,,,
,,,,acquisition-VNavNorm_datatype-anat_suffix-T2w__1,acquisition-VNavNorm_datatype-anat_suffix-T2w,1,446,8.1E-06,0.565,,,,120.0,,,,,,,,,0,2.0,1.0,,3.2,
,,,,acquisition-VNavNorm_datatype-anat_suffix-T2w__2,acquisition-VNavNorm_datatype-anat_suffix-T2w,2,1,8.1E-06,0.566,,,,120.0,,,,,,,,,0,2.0,1.0,,3.2,
,,,,acquisition-VNav_datatype-anat_run-1_suffix-T1w__1,acquisition-VNav_datatype-anat_run-1_suffix-T1w,1,255,8.1E-06,0.00288,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,,,acquisition-VNav_datatype-anat_run-1_suffix-T1w__2,acquisition-VNav_datatype-anat_run-1_suffix-T1w,2,2,,,,,,,,,,,,,,,0,,,,,
,,,,acquisition-VNav_datatype-anat_run-2_suffix-T1w__1,acquisition-VNav_datatype-anat_run-2_suffix-T1w,1,255,8.1E-06,0.00288,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,,,acquisition-VNav_datatype-anat_run-2_suffix-T1w__2,acquisition-VNav_datatype-anat_run-2_suffix-T1w,2,1,,,,,,,,,,,,,,,0,,,,,
,,,,acquisition-VNav_datatype-anat_suffix-T1w__1,acquisition-VNav_datatype-anat_suffix-T1w,1,2076,8.1E-06,0.00288,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,,,acquisition-VNav_datatype-anat_suffix-T1w__2,acquisition-VNav_datatype-anat_suffix-T1w,2,173,8.2E-06,0.0029,,,,8.0,,,,,,,,,0,2.0,1.0,,2.5,
,,,,acquisition-VNav_datatype-anat_suffix-T1w__3,acquisition-VNav_datatype-anat_suffix-T1w,3,4,,,,,,,,,,,,,,,0,,,,,
,,,,acquisition-VNav_datatype-anat_suffix-T2w__1,acquisition-VNav_datatype-anat_suffix-T2w,1,892,8.1E-06,0.565,,,,120.0,,,,,,,,,0,2.0,1.0,,3.2,
,,,,acquisition-VNav_datatype-anat_suffix-T2w__2,acquisition-VNav_datatype-anat_suffix-T2w,2,2,8.1E-06,0.566,,,,120.0,,,,,,,,,0,2.0,1.0,,3.2,
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__1,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,1,976,3.3E-06,0.1002,0.000389997,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,j-,3.32,0.0401697
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__2,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,2,879,3.5E-06,0.1002,0.000414993,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,j-,3.32,0.0427443
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__3,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,3,291,3.2E-06,0.0762,0.00071998,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,0.75,j-,3.11,0.0683981
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__4,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,4,20,3.5E-06,0.1002,0.000414993,,,90.0,,,,,,,,,0,2.0,1.0,j-,3.32,0.0427443
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__5,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,5,19,2.1E-06,0.089,0.000669999,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,0.75,j-,4.1,0.0931298
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__6,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,6,3,2.1E-06,0.089,0.000669999,,,90.0,,,,,,,,,0,,0.75,j-,4.1,0.0931298
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__7,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,7,3,3.3E-06,0.1002,0.000389997,,,90.0,,,,,,,,,0,2.0,1.0,j-,3.32,0.0401697
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__8,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,8,1,3.5E-06,0.1002,0.000478854,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,j-,3.44,0.0493219
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__9,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,9,1,3.5E-06,0.1002,0.000414993,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,j,3.32,0.0427443
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__10,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,10,1,3.2E-06,0.0762,0.000739978,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,0.75,i,3.14,0.0702979
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__11,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,11,1,3.5E-06,0.1002,0.000414993,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,i,3.32,0.0427443
,,,,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi__12,acquisition-dwi_datatype-fmap_direction-AP_fmap-epi_suffix-epi,12,1,3.2E-06,0.0762,0.00071998,,,90.0,,,,,,,,,0,,0.75,j-,3.11,0.0683981
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__1,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,1,934,3.3E-06,0.1002,0.000389997,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,j,3.32,0.0401697
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__2,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,2,852,3.5E-06,0.1002,0.000414993,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,j,3.32,0.0427443
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__3,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,3,294,3.2E-06,0.0762,0.00071998,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,0.75,j,3.11,0.0683981
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__4,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,4,32,3.3E-06,0.1002,0.000389997,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,i,3.32,0.0401697
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__5,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,5,28,3.5E-06,0.1002,0.000414993,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,i-,3.32,0.0427443
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__6,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,6,20,3.5E-06,0.1002,0.000414993,,,90.0,,,,,,,,,0,2.0,1.0,j,3.32,0.0427443
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__7,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,7,19,2.1E-06,0.089,0.000669999,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,,0.75,j,4.1,0.0931298
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__8,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,8,10,3.3E-06,0.1002,0.000389997,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,j-,3.32,0.0401697
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__9,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,9,3,2.1E-06,0.089,0.000669999,,,90.0,,,,,,,,,0,,0.75,j,4.1,0.0931298
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__10,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,10,3,3.3E-06,0.1002,0.000389997,,,90.0,,,,,,,,,0,2.0,1.0,j,3.32,0.0401697
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__11,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,11,3,2.6E-06,0.0512,0.000550001,,,90.0,,,,,,,,,60,,1.0,j,5.301,0.04565
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__12,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,12,1,3.5E-06,0.1002,0.000498801,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,j,3.44,0.0513765
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__13,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,13,1,3.5E-06,0.1002,0.000414993,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,i,3.32,0.0427443
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__14,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,14,1,3.5E-06,0.1002,0.000414993,,,90.0,acquisition-64dir_datatype-dwi_suffix-dwi,,,,,,,,0,2.0,1.0,j-,3.32,0.0427443
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__15,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,15,1,3.2E-06,0.0762,0.00071998,,,90.0,,,,,,,,,0,,0.75,j,3.11,0.0683981
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__16,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,16,1,3.5E-06,0.1002,0.000414993,,,90.0,,,,,,,,,0,2.0,1.0,i,3.32,0.0427443
,,,,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi__17,acquisition-dwi_datatype-fmap_direction-PA_fmap-epi_suffix-epi,17,1,2.6E-06,0.0512,0.000550001,,,90.0,,,,,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__1,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,1,443,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__2,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,2,361,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__3,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,3,291,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__4,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,4,249,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__5,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,5,172,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-rest,,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__6,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,6,96,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieTP,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__7,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,7,73,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,datatype-func_suffix-bold_task-rest,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__8,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,8,69,2.6E-06,0.0512,0.00049999,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__9,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,9,40,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__10,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,10,39,2.6E-06,0.0512,0.00049999,,,90.0,,,,,,,,,60,,1.0,j-,5.301,0.0414992
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__11,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,11,32,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-3_suffix-bold_task-peer,datatype-func_suffix-bold_task-movieDM,datatype-func_suffix-bold_task-movieTP,,,,60,,1.0,j-,5.301,0.04565
,,,,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__12,acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi,12,24,2.6E-06,0.0512,0.000550001,,,90.0,datatype-func_run-1_suffix-bold_task-peer,datatype-func_run-1_suffix-bold_task-rest,datatype-func_run-2_suffix-bold_task-peer,datatype-func_run-2_suffix-bold_task-rest,datatype-func_suffix-bold_task-movieDM,,,,60,,1.0,j-,5.301,0.04565
